Nationality	Applicant_Type	Service_Center	Category	Application_Filed	USCIS_Received_Date	USCIS_Notice_Date	I-140_Filing	Processing_Type	RFE_Received	RFE_Received_Date	Reason_RFE	RFE_Replied_Date	Application_Status	Approval_Denial_Date
Italy	primary	Texas	EB1A	10/10/04	11/1/04	.	non-concurrent	regular	yes	3/28/09	.	4/18/09	approved	5/11/09
United Kingdom	primary	Texas	EB1A	8/13/08	8/14/08	.	non-concurrent	regular	no	.	.	.	approved	2/28/09
India	primary	Nebraska	EB3	8/8/07	.	.	concurrent	regular	yes	3/14/09	"Missing signature and experien... <a title=""Missing signature and experience letter"" href=""/usa-immigration-trackers/discuss/i140/4948"">more</a>"	3/17/09	approved	4/4/09
Switzerland	primary	Nebraska	EB2	2/6/09	2/9/09	.	concurrent	regular	no	.	.	.	approved	5/14/09
India	primary	California	EB2	3/3/09	3/4/09	.	non-concurrent	regular	no	.	.	.	approved	3/23/09
India	primary	Nebraska	EB3	1/8/09	1/12/09	.	non-concurrent	regular	no	.	.	.	approved	5/6/09
India	primary	California	EB2	12/15/08	12/17/08	.	non-concurrent	regular	no	.	.	.	approved	4/30/09
Iran	primary	Texas	EB2-NIW	10/27/08	10/27/08	.	non-concurrent	regular	no	.	.	.	approved	5/4/09
India	primary	Nebraska	EB3	10/10/08	10/15/08	.	non-concurrent	regular	no	.	.	.	approved	5/6/09
United Kingdom	primary	Texas	EB1A	10/8/08	10/13/08	.	non-concurrent	regular	no	.	.	.	approved	5/4/09
China	primary	Texas	EB1B	6/1/08	6/6/08	.	concurrent	regular	no	.	.	.	approved	5/4/09
India	primary	Nebraska	EB2	8/10/07	.	.	concurrent	regular	no	.	.	.	approved	3/23/09
India	primary	Texas	EB1A	2/21/08	2/21/08	.	non-concurrent	regular	no	.	.	.	approved	1/31/09
Pakistan	primary	Nebraska	EB3	8/14/07	9/28/07	.	non-concurrent	regular	yes	.	"Employer&#039;s tax informatio... <a title=""Employer&#039;s tax information was required"" href=""/usa-immigration-trackers/discuss/i140/11136"">more</a>"	2/24/09	approved	5/3/09
Argentina	primary	Nebraska	EB2	11/10/07	11/10/07	.	concurrent	regular	yes	3/25/09	"everithing, very long letter..... <a title=""everithing, very long letter..."" href=""/usa-immigration-trackers/discuss/i140/11617"">more</a>"	4/10/09	denied	5/1/09
India	primary	Nebraska	EB3	8/16/07	10/6/07	.	concurrent	regular	yes	3/16/09	A2P	4/6/09	approved	4/30/09
Sri Lanka	primary	Texas	EB2	7/26/07	7/27/07	.	concurrent	regular	no	.	.	.	approved	4/27/09
India	primary	Nebraska	EB1C	4/22/08	4/22/08	.	concurrent	regular	yes	2/6/09	"Detailed Job description in US... <a title=""Detailed Job description in US and abroad. Job desc for subordinates and superiors"" href=""/usa-immigration-trackers/discuss/i140/11218"">more</a>"	3/20/09	approved	4/27/09
India	primary	Texas	EB3	7/8/07	7/11/07	.	non-concurrent	regular	yes	.	.	.	approved	2/27/08
Russia	primary	Nebraska	EB3	8/8/07	9/16/07	.	concurrent	regular	yes	4/6/09	Ability to Pay	.	approved	4/13/09
India	primary	Nebraska	EB3	7/12/07	7/17/07	.	concurrent	regular	yes	2/25/09	"Pay stubs, W2, Experience lett... <a title=""Pay stubs, W2, Experience letter, Companys Financial documents to prove ability to pay. "" href=""/usa-immigration-trackers/discuss/i140/11208"">more</a>"	3/7/09	approved	3/30/09
Russia	primary	Texas	EB1A	10/7/08	10/7/08	.	non-concurrent	regular	no	.	.	.	approved	4/26/09
India	primary	Texas	EB2	7/25/07	7/26/07	.	concurrent	regular	no	.	.	.	approved	2/23/08
India	primary	Texas	EB2	4/22/07	4/23/07	.	non-concurrent	regular	no	.	.	.	approved	10/30/07
Canada	primary	California	EB1B	10/13/03	10/14/03	.	concurrent	regular	no	.	.	.	approved	1/5/09
India	primary	Nebraska	EB3	5/9/07	5/9/07	.	concurrent	regular	yes	.	.	1/13/09	denied	4/16/09
India	.	Nebraska	EB3	8/8/07	.	.	concurrent	regular	yes	.	.	3/10/08	pending	.
India	primary	Texas	EB3	3/6/09	3/9/09	.	non-concurrent	regular	no	.	.	.	approved	4/17/09
India	primary	Nebraska	EB3	12/10/07	12/10/07	.	non-concurrent	regular	yes	.	.	.	approved	4/15/09
India	primary	Texas	EB2	2/25/09	2/26/09	.	non-concurrent	regular	no	.	.	.	approved	4/8/09
South Korea	primary	Nebraska	EB3	9/28/07	10/1/07	.	non-concurrent	regular	yes	3/10/09	.	4/8/09	approved	4/14/09
India	primary	Texas	EB3	3/5/09	.	.	non-concurrent	regular	no	.	.	.	approved	4/14/09
India	primary	Texas	EB1A	10/19/08	10/20/08	.	concurrent	regular	no	.	.	.	approved	3/11/09
India	.	Texas	EB2	5/29/08	.	.	non-concurrent	regular	no	.	.	.	pending	.
India	primary	Texas	EB1B	9/17/08	9/22/08	.	concurrent	regular	no	.	.	.	approved	4/1/09
India	.	Nebraska	EB3	7/29/08	7/30/08	.	non-concurrent	regular	no	.	.	.	pending	.
India	.	Nebraska	EB2-NIW	7/26/07	.	.	concurrent	regular	no	.	.	.	pending	.
India	primary	Nebraska	EB3	11/11/08	11/12/08	.	non-concurrent	regular	no	.	.	.	approved	4/14/09
India	primary	Texas	EB2	2/3/09	2/5/09	.	non-concurrent	regular	no	.	.	.	approved	4/7/09
India	primary	Nebraska	EB3	11/11/08	11/12/08	.	non-concurrent	regular	no	.	.	.	approved	4/9/09
Russia	primary	Texas	EB2-NIW	2/9/09	.	.	concurrent	regular	no	.	.	.	approved	4/7/09
India	primary	Nebraska	EB3	10/10/07	10/18/07	.	non-concurrent	regular	yes	3/24/09	Last W2 and latest paystub.	4/6/09	approved	4/13/09
India	primary	Texas	EB2	8/17/07	10/11/07	.	concurrent	regular	yes	.	.	.	approved	4/10/09
Russia	primary	Nebraska	EB2	11/11/08	11/12/08	.	concurrent	regular	no	.	.	.	approved	4/10/09
South Korea	primary	Nebraska	EB2	11/10/08	11/12/08	.	concurrent	regular	no	.	.	.	approved	4/10/09
India	primary	Nebraska	EB3	10/7/08	10/8/08	.	non-concurrent	regular	no	.	.	.	approved	4/9/09
